Region,Percent,N,L
Upstream,15.491,13597640,198780000
5_UTR,0.722,634063,18533310
Exon,2.001,1756578,131254517
Intron,8.557,7510909,214695282
3_UTR,0.971,852169,25486117
Downstream,15.298,13427766,198780000
Intragenic,56.759,49820595,1734286795
