SRR1575496	CH10
SRR1575497	D06
SRR1575498	D09
SRR1575499	D152
SRR1575500	DK105
SRR1575501	EC169
SRR1575502	EC49A
SRR1575504	EP44
SRR1575505	EZ5
SRR1575506	F03802
SRR1575507	F2
SRR1575508	F252
SRR1575509	F283
SRR1575510	F353
SRR1575511	F618
SRR1575512	F64
SRR1575514	F98902
SRR1575515	FF0721H-7
SRR1575516	Lo11
SRR1575519	Teosinte
SRR1575520	UH006
SRR1575521	UH007
SRR1575522	UH009
SRR1575523	UH250
SRR1575524	UH304
SRR1575525	W117
