"Group","C","T"
"China",1,0
"Europe",0.529411764705882,0.470588235294118
"IDT",0.986486486486487,0.0135135135135135
"NSS",0.911949685534591,0.0880503144654088
"SS",0.935960591133005,0.0640394088669951
"Tropical",1,0
"Z.mexicana",1,0
"Z.parviglumis",1,0
