"Group","C","T"
"China",0.864864864864865,0.135135135135135
"Europe",0.470588235294118,0.529411764705882
"IDT",0.151515151515152,0.848484848484849
"NSS",0.506756756756757,0.493243243243243
"SS",0.354166666666667,0.645833333333333
"Tropical",0.962025316455696,0.0379746835443038
"Z.mexicana",1,0
"Z.parviglumis",1,0
