GenotypeID_V5_Grzybowski_etal_2022,State_Country_Origin,Subpopulation_Heteroticgroup
CI_40H,Other,Unclassified
CI_540,Other,Unclassified
CI_64,USDA,Non Stiff Stalk
CI_91B,USDA,Non Stiff Stalk
CI31A,USDA,Non Stiff Stalk
CI66,USDA,Non Stiff Stalk
Ci7Goodman-Buckler,USDA,Non Stiff Stalk
CI90C,USDA,Unclassified
CL17,"Canada, Lethbridge",Sweet Corn
CL27,"Canada, Lethbridge",Sweet Corn
CM105,Canada-Morden,Stiff Stalk
CM37,Canada-Morden,Non Stiff Stalk
CM48,"Canada, Morden",Unclassified
CM7,Canada-Morden,Stiff Stalk
CM99,"Canada, Morden",Stiff Stalk
CML_108,Mexico,Tropical
CML_154Q,Mexico,Tropical
CML_218,Mexico,Tropical
CML_220,Mexico,Tropical
CML_228,Mexico,Tropical
CML_247,Mexico,Tropical
CML_254,Mexico,Tropical
CML_264,Mexico,Tropical
CML_277,Mexico,Tropical
CML_287,Mexico,Tropical
CML_322,Mexico,Tropical
CML_323,Mexico,Tropical
CML_395,Mexico,Tropical
CML_52,Mexico,Tropical
CML_91,Mexico,Tropical
CML10,Mexico,Tropical
CML11,Mexico,Tropical
CML14,Mexico,Tropical
CML157Q,Mexico,Tropical
CML158Q,Mexico,Tropical
CML238,Mexico,Tropical
CML258,Mexico,Tropical
CML261,Mexico,Tropical
CML281,Mexico,Tropical
CML311,Mexico,Tropical
CML314,Mexico,Tropical
CML321,Mexico,Tropical
CML328,Mexico,Tropical
CML331,Mexico,Tropical
CML332,Mexico,Tropical
CML333,Mexico,Tropical
CML341,Mexico,Tropical
CML38,Mexico,Tropical
CML45,Mexico,Tropical
CML5,Mexico,Tropical
CML61,Mexico,Tropical
CML69,Mexico,Tropical
CML77,Mexico,Tropical
CML92,Mexico,Tropical
CMV3,Minnesota,Non Stiff Stalk
CO106,Canada-Ottawa,Non Stiff Stalk
CO117,"Canada,Ottawa",Unclassified
CO125,Canada-Ontario,Non Stiff Stalk
CO158,"Canada,Ottawa",Unclassified
CO192,"Canada,Ottawa",Unclassified
CO216,"Canada,Ottawa",Unclassified
CO236,"Canada,Ottawa",Unclassified
CO237,"Canada,Ottawa",Unclassified
CO245,"Canada,Ottawa",Sweet Corn
CO255,"Canada, Ontario",Sweet Corn
CO256,"Canada, Ontario",Stiff Stalk
CO257,"Canada, Ontario",Stiff Stalk
CO258,"Canada, Ontario",Stiff Stalk
CQ702RC,"United AgriSeeds, Inc.",Non Stiff Stalk
CQ806,Illinois,Non Stiff Stalk
CR_22_INBRED,Other,Unclassified
CR14,ExPVP,Stiff Stalk
CR1HT,ExPVP,Non Stiff Stalk
CS405,ExPVP,Unclassified
CS608,ExPVP,Unclassified
CSJ3,"Canada, Ontario",Unclassified
D940Y,South Africa,Tropical 
DE1,Delaware,Iodent
DE2,Delaware,Iodent
DE3,Delaware,Non Stiff Stalk
DE4,Delaware,Non Stiff Stalk
DE811,Delaware,Stiff Stalk
DJ7,ExPVP,Stiff Stalk
DK3IBZ2,DEKALB Plant Genetics,Unclassified
DK3IIH6,DEKALB Plant Genetics,Iodent
DK4676A,DEKALB Plant Genetics,Unclassified
DK6F545,United States,Stiff Stalk
DK78002A,DEKALB Plant Genetics,Stiff Stalk
DK78004,ExPVP,Stiff Stalk
DK78010,DEKALB Plant Genetics,Stiff Stalk
DK78371A,DEKALB Plant Genetics,Non Stiff Stalk
